@MeasurementDateGMT,@Value,SpeciesCode,SiteCode,SpeciesName,SiteName,SiteType,Latitude,Longitude
2025-11-03 06:00:00,52.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 07:00:00,50.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 08:00:00,50.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 09:00:00,52.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 10:00:00,55.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 11:00:00,57.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 12:00:00,59.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 13:00:00,64.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 14:00:00,65.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 15:00:00,64.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 16:00:00,60.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 17:00:00,60.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 18:00:00,61.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 19:00:00,61.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 20:00:00,62.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 21:00:00,61.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 22:00:00,63.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-03 23:00:00,67.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 00:00:00,66.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 01:00:00,65.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 02:00:00,64.3,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 03:00:00,63.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 04:00:00,63.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 05:00:00,63.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 06:00:00,60.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 07:00:00,54.5,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 08:00:00,53.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 09:00:00,53.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 10:00:00,50.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 11:00:00,47.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 12:00:00,44.7,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 13:00:00,45.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 14:00:00,43.1,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
2025-11-04 15:00:00,37.9,O3,BL0,Ozone,Camden - Bloomsbury,Urban Background,51.522287,-0.125848
