year,pollutant_name,mean,median,std,count
2023,CO,0.21,0.2,0.1,1230
2023,NO2,24.44,21.0,15.73,26495
2023,O3,56.81,57.1,22.32,3980
2023,PM10,17.32,15.2,11.34,17539
2023,PM2.5,10.41,8.7,7.01,10840
2023,SO2,1.11,1.3,1.28,984
