siteCode,SpeciesCode,year,month,count,month_number
BG1,NO2,2023,2023_jun,1,6
BG1,NO2,2023,2023_may,1,5
BG1,NO2,2024,2024_apr,1,4
BG1,NO2,2024,2024_aug,1,8
BG1,NO2,2024,2024_feb,1,2
BG1,NO2,2024,2024_mar,1,3
BG1,NO2,2024,2024_sep,1,9
BG1,NO2,2025,2025_aug,1,8
BG1,NO2,2025,2025_jun,1,6
BG1,NO2,2025,2025_nov,1,11
BG1,NO2,2025,2025_oct,1,10
BG1,NO2,2025,2025_sep,1,9
BG1,SO2,2023,2023_feb,1,2
BG1,SO2,2023,2023_jun,1,6
BG1,SO2,2023,2023_may,1,5
BG1,SO2,2024,2024_apr,1,4
BG1,SO2,2024,2024_dec,1,12
BG1,SO2,2024,2024_mar,1,3
BG1,SO2,2024,2024_nov,1,11
BG1,SO2,2025,2025_aug,1,8
BG1,SO2,2025,2025_feb,1,2
BG1,SO2,2025,2025_jan,1,1
BG1,SO2,2025,2025_jul,1,7
BG1,SO2,2025,2025_jun,1,6
BG1,SO2,2025,2025_nov,1,11
BG1,SO2,2025,2025_oct,1,10
BG1,SO2,2025,2025_sep,1,9
BG2,NO2,2023,2023_nov,1,11
BG2,NO2,2024,2024_aug,1,8
BG2,NO2,2024,2024_may,1,5
BG2,NO2,2025,2025_aug,1,8
BG2,NO2,2025,2025_jul,1,7
BG2,NO2,2025,2025_jun,1,6
BG2,NO2,2025,2025_nov,1,11
BG2,NO2,2025,2025_oct,1,10
BG2,NO2,2025,2025_sep,1,9
BG2,PM10,2023,2023_jan,1,1
BG2,PM10,2024,2024_aug,1,8
BG2,PM10,2024,2024_sep,1,9
BG2,PM10,2025,2025_aug,1,8
BG2,PM10,2025,2025_jul,1,7
BG2,PM10,2025,2025_jun,1,6
BG2,PM10,2025,2025_mar,1,3
BG2,PM10,2025,2025_nov,1,11
BG2,PM10,2025,2025_sep,1,9
BL0,CO,2023,2023_apr,1,4
BL0,CO,2023,2023_aug,1,8
BL0,CO,2023,2023_dec,1,12
BL0,CO,2023,2023_feb,1,2
BL0,CO,2023,2023_jan,1,1
BL0,CO,2023,2023_jul,1,7
BL0,CO,2023,2023_jun,1,6
BL0,CO,2023,2023_mar,1,3
BL0,CO,2023,2023_may,1,5
BL0,CO,2023,2023_nov,1,11
BL0,CO,2023,2023_oct,1,10
BL0,CO,2023,2023_sep,1,9
BL0,CO,2024,2024_apr,1,4
BL0,CO,2024,2024_aug,1,8
BL0,CO,2024,2024_dec,1,12
BL0,CO,2024,2024_feb,1,2
BL0,CO,2024,2024_jan,1,1
BL0,CO,2024,2024_jul,1,7
BL0,CO,2024,2024_jun,1,6
BL0,CO,2024,2024_mar,1,3
BL0,CO,2024,2024_may,1,5
BL0,CO,2024,2024_nov,1,11
BL0,CO,2024,2024_oct,1,10
BL0,CO,2024,2024_sep,1,9
BL0,CO,2025,2025_apr,1,4
BL0,CO,2025,2025_aug,1,8
BL0,CO,2025,2025_feb,1,2
BL0,CO,2025,2025_jan,1,1
BL0,CO,2025,2025_jul,1,7
BL0,CO,2025,2025_jun,1,6
BL0,CO,2025,2025_mar,1,3
BL0,CO,2025,2025_may,1,5
BL0,CO,2025,2025_nov,1,11
BL0,CO,2025,2025_oct,1,10
BL0,CO,2025,2025_sep,1,9
BL0,NO2,2023,2023_aug,1,8
BL0,NO2,2023,2023_dec,1,12
BL0,NO2,2023,2023_nov,1,11
BL0,NO2,2023,2023_oct,1,10
BL0,NO2,2023,2023_sep,1,9
BL0,NO2,2024,2024_apr,1,4
BL0,NO2,2024,2024_aug,1,8
BL0,NO2,2024,2024_dec,1,12
BL0,NO2,2024,2024_feb,1,2
BL0,NO2,2024,2024_jan,1,1
BL0,NO2,2024,2024_jul,1,7
BL0,NO2,2024,2024_jun,1,6
BL0,NO2,2024,2024_mar,1,3
BL0,NO2,2024,2024_may,1,5
BL0,NO2,2024,2024_nov,1,11
BL0,NO2,2024,2024_oct,1,10
BL0,NO2,2024,2024_sep,1,9
BL0,NO2,2025,2025_feb,1,2
BL0,NO2,2025,2025_jan,1,1
BL0,NO2,2025,2025_mar,1,3
BL0,O3,2023,2023_aug,1,8
