uri,uri_code,pollutant_name,pollutant_code,definition,status
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1616,1616,Benzo(b)fluoranthene in PM2.5 (aerosol),Benzo(b)fluoranthene in PM2.5 (aerosol),Benzo(b)fluoranthene in PM2.5 - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1617,1617,Benzo(b)fluoranthene in PM2.5 (air+aerosol),Benzo(b)fluoranthene in PM2.5,Benzo(b)fluoranthene in PM2.5 - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1623,1623,Benzo(ghi)perylene in PM2.5 (aerosol),Benzo(ghi)perylene in PM2.5 (aerosol),Benzo(ghi)perylene in PM2.5 - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1626,1626,Benzo(k)fluoranthene in PM2.5 (aerosol),Benzo(k)fluoranthene in PM2.5,Benzo(k)fluoranthene in PM2.5 - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1629,1629,calcium in PM2.5 (aerosol),Ca2+ in PM2.5,Ca2+ in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1631,1631,chloride in PM2.5 (aerosol),Cl- in PM2.5,Cl- in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1643,1643,Fluoranthene in PM2.5 (aerosol),Fluoranthene in PM2.5 (aerosol),Fluoranthene in PM2.5 (aerosol)  - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1655,1655,indeno_123cd_pyrene in PM2.5 (aerosol),"Indeno-(1,2,3-cd)pyrene in PM2.5","Indeno-(1,2,3-cd)pyrene in PM2.5 - recommended unit: ng/m3",valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1657,1657,potassium in PM2.5 (aerosol),K+ in PM2.5,K+ in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1659,1659,magnesium in PM2.5 (aerosol),Mg2+ in PM2.5,Mg2+ in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1668,1668,sodium in PM2.5 (aerosol),Na+  in PM2.5,Na+ in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/17,17,Manganese (aerosol),Mn,Mn - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1712,1712,Phenanthrene in PM2.5 (aerosol),Phenanthrene in PM2.5 (aerosol),Phenanthrene in PM2.5 (aerosol)  - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1715,1715,Pyrene in PM2.5 (aerosol),Pyrene in PM2.5 (aerosol),Pyrene in PM2.5 (aerosol)  - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1759,1759,Benzo(j)fluoranthene in PM2.5 (aerosol),Benzo(j)fluoranthene in PM2.5,Benzo(j)fluoranthene in PM2.5 - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1771,1771,Elemental carbon in PM2.5 (aerosol),EC in PM2.5,EC in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/1772,1772,Organic carbon in PM2.5 (aerosol),OC in PM2.5,OC in PM2.5 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/18,18,Arsenic (aerosol),As,As - recommended unit: ng/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/19,19,Carbon disulphide (air),CS2,CS2 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/20,20,Benzene (air),C6H6,C6H6 - recommended unit: µg/m3,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2012,2012,Lead (precip),Pb,Pb - recommended unit: µg/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2013,2013,Mercury (precip),Hg,Hg - recommended unit: ng/l,valid
http://dd.eionet.europa.eu/vocabulary/aq/pollutant/2014,2014,Cadmium (precip),Cd,Cd - recommended unit: µg/l,valid
