SiteCode,SiteName,SiteType,SpeciesCode,SpeciesName,Latitude,Longitude
TL6,Newham - Britannia Gate,Roadside,PM25,PM2.5 Particulate,51.503858,0.020574415
TL5,Newham - Hoola Tower,Roadside,NO2,Nitrogen Dioxide,51.508198,0.015002152
CE3,Regent Street (The Crown Estate),Roadside,NO2,Nitrogen Dioxide,51.5113771448991,-0.139249367757023
CE3,Regent Street (The Crown Estate),Roadside,PM10,PM10 Particulate,51.5113771448991,-0.139249367757023
CE3,Regent Street (The Crown Estate),Roadside,PM25,PM2.5 Particulate,51.5113771448991,-0.139249367757023
RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,NO2,Nitrogen Dioxide,51.476168,-0.230427
RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,O3,Ozone,51.476168,-0.230427
RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,PM10,PM10 Particulate,51.476168,-0.230427
RI2,Richmond Upon Thames - Barnes Wetlands,Suburban,PM25,PM2.5 Particulate,51.476168,-0.230427
RI1,Richmond Upon Thames - Castelnau,Roadside,NO2,Nitrogen Dioxide,51.480189,-0.237335
RI1,Richmond Upon Thames - Castelnau,Roadside,PM10,PM10 Particulate,51.480189,-0.237335
RHI,Richmond Upon Thames - Richmond,Kerbside,PM25,PM2.5 Particulate,51.4638976490621,-0.301685013378926
SK5,Southwark - A2 Old Kent Road,Roadside,NO2,Nitrogen Dioxide,51.4804994936467,-0.0595528932573422
SK5,Southwark - A2 Old Kent Road,Roadside,PM10,PM10 Particulate,51.4804994936467,-0.0595528932573422
TH4,Tower Hamlets - Blackwall,Roadside,NO2,Nitrogen Dioxide,51.5150461674013,-0.0084184926564274
TH4,Tower Hamlets - Blackwall,Roadside,O3,Ozone,51.5150461674013,-0.0084184926564274
TH4,Tower Hamlets - Blackwall,Roadside,PM10,PM10 Particulate,51.5150461674013,-0.0084184926564274
TH4,Tower Hamlets - Blackwall,Roadside,PM25,PM2.5 Particulate,51.5150461674013,-0.0084184926564274
CW3,Tower Hamlets - Jubilee Park,Urban Background,NO2,Nitrogen Dioxide,51.5029878731458,-0.0180219908165375
CW3,Tower Hamlets - Jubilee Park,Urban Background,PM10,PM10 Particulate,51.5029878731458,-0.0180219908165375
CW3,Tower Hamlets - Jubilee Park,Urban Background,PM25,PM2.5 Particulate,51.5029878731458,-0.0180219908165375
TH7,Tower Hamlets - King Edward Memorial Park,Urban Background,PM25,PM2.5 Particulate,51.5094228799835,-0.0505278232872832
TH2,Tower Hamlets - Mile End Road,Roadside,NO2,Nitrogen Dioxide,51.5225462561171,-0.0420823040635312
TH2,Tower Hamlets - Mile End Road,Roadside,PM25,PM2.5 Particulate,51.5225462561171,-0.0420823040635312
TH5,Tower Hamlets - Victoria Park,Urban Background,PM25,PM2.5 Particulate,51.5399327394691,-0.0331740581778178
WAA,Wandsworth - Battersea,Roadside,NO2,Nitrogen Dioxide,51.4794395281222,-0.141786953606306
WAA,Wandsworth - Battersea,Roadside,PM10,PM10 Particulate,51.4794395281222,-0.141786953606306
WAA,Wandsworth - Battersea,Roadside,PM25,PM2.5 Particulate,51.4794395281222,-0.141786953606306
WA9,Wandsworth - Putney,Urban Background,PM10,PM10 Particulate,51.4650325059122,-0.215824580947572
