target,category,pollutant,test_r2,test_rmse,test_mae,epochs
Tower_Hamlets_Roadside_NO,Nitrogen,NO,-7.558259542562219e+30,0.01907660765209,0.010721641889533786,20
Tower_Hamlets_Roadside_NO2,NO2,NO2,-1.1513590221461106e+30,0.029782120928446995,0.02510124906530662,29
Tower_Hamlets_Roadside_NOx,Nitrogen,NOx,-2.2399427393922654e+30,0.0207701054294588,0.016385327480911448,32
