feature,importance,category
KC1_O3_t-4,0.0003600526661867011,O3
HP1_NO2_t-9,0.000358235510536253,NO2
ME9_NO2_t-11,0.0003573331167702314,NO2
GR7_PM10_t-1,0.0003573283985279874,PM10
ME9_NO2_t-9,0.0003553813171241327,NO2
KC1_O3_t-12,0.0003488243711049139,O3
GN4_NO2_t-9,0.0003474491483799965,NO2
EA6_NO2_t-11,0.00034614946744470943,NO2
GR9_NO2_t-3,0.0003451703308772497,NO2
GR7_NO2_t-2,0.00034392373011758216,NO2
HP1_O3_t-5,0.0003435248293606667,O3
EI1_NO2_t-9,0.000343187635447502,NO2
EA8_NO2_t-3,0.00033698982623240497,NO2
GN4_PM10_t-11,0.00033624688484948915,PM10
BX1_O3_t-7,0.0003349814881934177,O3
GR7_NO2_t-3,0.00033421791709133743,NO2
BX1_O3_t-4,0.00033387561999026,O3
BX1_O3_t-12,0.00033373026385271357,O3
KC1_O3_t-3,0.0003330074568723108,O3
EA6_NO2_t-12,0.00033156456365106876,NO2
HP1_O3_t-4,0.00033010626885809257,O3
GN3_PM10_t-12,0.0003297747521064399,PM10
EA8_NO2_t-10,0.00032832245626190893,NO2
BT4_PM10_t-2,0.0003266283617945575,PM10
HP1_NO2_t-8,0.00032486244088321197,NO2
WM6_NO2_t-4,0.0003246306841029673,NO2
BT5_NO2_t-9,0.00032398479645294036,NO2
BT6_PM10_t-1,0.0003239735638760548,PM10
GN4_NO2_t-11,0.00032344151102746903,NO2
LB4_NO2_t-5,0.00032328379292694486,NO2
RI1_NO2_t-10,0.0003229886794349076,NO2
HP1_NO2_t-12,0.00031974179361105883,NO2
ME9_NO2_t-8,0.0003185068073427205,NO2
EA6_NO2_t-7,0.0003180967892867074,NO2
WM6_NO2_t-6,0.00031798665072450653,NO2
ME9_NO2_t-12,0.00031613425538364607,NO2
GN0_NO2_t-5,0.0003157650335127108,NO2
HV1_NO2_t-11,0.0003151941490643764,NO2
KC1_NO2_t-4,0.0003149912467457862,NO2
WM6_NO2_t-8,0.00031283331804406146,NO2
EA6_NO2_t-9,0.0003127573199531674,NO2
ME9_NO2_t-6,0.0003126449072230544,NO2
BT5_NO2_t-8,0.00031188095322287363,NO2
GN0_NO2_t-9,0.00031075469433676864,NO2
SK5_NO2_t-4,0.0003102101762017662,NO2
EA6_NO2_t-8,0.00031010205507167474,NO2
BT8_NO2_t-8,0.00030821928350631796,NO2
EA6_NO2_t-10,0.00030728398386346205,NO2
EI1_NO2_t-3,0.0003072664469752183,NO2
EA8_NO2_t-11,0.000306746626523628,NO2
WM6_NO2_t-11,0.0003065588038469018,NO2
WMD_NO2_t-11,0.0003065118233055139,NO2
GN6_NO2_t-4,0.000306484001696864,NO2
BT5_NO2_t-12,0.0003050908077846976,NO2
EN1_NO2_t-12,0.00030328202331623494,NO2
HV1_NO2_t-12,0.0003027731065924293,NO2
BX2_PM10_t-1,0.0003021769957924067,PM10
EN1_NO2_t-4,0.0003013373605982377,NO2
BT5_NO2_t-10,0.00030075154955362215,NO2
SK5_NO2_t-8,0.00030059820843531644,NO2
BX1_O3_t-6,0.00030027893780709534,O3
WM6_NO2_t-10,0.0002990954632156761,NO2
BT5_NO2_t-4,0.00029825447561642035,NO2
BT8_NO2_t-6,0.00029729062083206373,NO2
SK5_NO2_t-10,0.00029722474738735704,NO2
BT8_NO2_t-12,0.0002971080188537336,NO2
HV1_NO2_t-6,0.00029669217559043904,NO2
GR9_NO2_t-4,0.00029635383973934914,NO2
HP1_NO2_t-5,0.00029607338687513707,NO2
BT5_NO2_t-11,0.0002941452409861275,NO2
GN3_PM10_t-9,0.0002931477250339239,PM10
BT6_NO2_t-4,0.0002924292638976755,NO2
GN4_PM10_t-7,0.00029205449633860794,PM10
GR7_PM10_t-8,0.00029177844129025875,PM10
GN4_NO2_t-5,0.00029041928612983075,NO2
BT4_PM10_t-12,0.00028792721080294584,PM10
GN4_NO2_t-4,0.00028756402857186593,NO2
BT8_NO2_t-4,0.0002866160869244744,NO2
HP1_NO2_t-11,0.00028643114613501524,NO2
EA8_NO2_t-4,0.00028301971936927186,NO2
ME9_NO2_t-4,0.00028228089096034114,NO2
GR7_PM10_t-11,0.00028111071441567527,PM10
BT8_NO2_t-7,0.0002809749910761695,NO2
BT4_PM10_t-9,0.00028022619230624407,PM10
EN4_NO2_t-11,0.00027969349704205066,NO2
GN4_PM10_t-6,0.0002794546096758558,PM10
EA8_NO2_t-8,0.0002786072984849177,NO2
HV1_NO2_t-9,0.000278500161144718,NO2
GN0_NO2_t-8,0.0002778632216744234,NO2
hour_t-9,0.0002772541690444364,temporal_hour
BT8_NO2_t-11,0.00027676839682654275,NO2
EN5_NO2_t-10,0.000276612094531595,NO2
HV1_NO2_t-8,0.00027632331224340813,NO2
GN0_NO2_t-4,0.0002754122365100379,NO2
HP1_O3_t-12,0.00027521223617230306,O3
WM6_NO2_t-9,0.00027506740575101096,NO2
HV1_NO2_t-5,0.00027234523810973176,NO2
RI1_NO2_t-12,0.00027035706623223003,NO2
BX2_PM10_t-2,0.00026946361326142683,PM10
EN5_NO2_t-7,0.00026837777991512465,NO2
EN4_NO2_t-12,0.00026621926842766464,NO2
BT5_NO2_t-6,0.0002657425462863444,NO2
GR9_NO2_t-8,0.00026539974529701517,NO2
SK5_NO2_t-11,0.0002648249904828378,NO2
BT8_NO2_t-5,0.00026455361957070637,NO2
EI1_NO2_t-7,0.0002642131644654586,NO2
BT4_PM10_t-10,0.00026259693908093777,PM10
EN5_NO2_t-11,0.0002612813319723732,NO2
GN4_PM10_t-4,0.0002607940013433143,PM10
BT4_PM10_t-5,0.0002592039432600389,PM10
GN4_PM10_t-10,0.00025665589376097083,PM10
GN6_NO2_t-9,0.00025663110469419185,NO2
GR7_PM10_t-5,0.0002565214958549947,PM10
GR7_NO2_t-5,0.0002552793332102405,NO2
EN5_NO2_t-12,0.0002546916550870174,NO2
EI1_NO2_t-8,0.0002535938913344984,NO2
EN4_NO2_t-6,0.0002534134914857429,NO2
IS6_NO2_t-12,0.0002532430261704554,NO2
GN4_NO2_t-12,0.00025285205037746747,NO2
GR7_PM10_t-7,0.0002528304729717841,PM10
SK5_NO2_t-12,0.0002526618413880443,NO2
KC1_O3_t-5,0.00025241436514139673,O3
GN3_PM10_t-2,0.00025221413530714625,PM10
GN4_NO2_t-7,0.00025069920287384143,NO2
GN0_NO2_t-12,0.00024960165485146826,NO2
GR7_NO2_t-11,0.00024902520351041755,NO2
KC1_O3_t-10,0.00024804831549234477,O3
BX1_O3_t-11,0.00024792188552338234,O3
WM6_NO2_t-7,0.00024689552554575694,NO2
BT4_PM10_t-7,0.0002466385252124247,PM10
EN5_NO2_t-5,0.0002453808566863154,NO2
BT8_NO2_t-10,0.0002452090140909979,NO2
