pollutant,r2_mean,r2_std,r2_min,r2_max,n_models
O3,0.8866,0.027,0.8219,0.9123,10
CO,0.7867,0.0413,0.7575,0.8159,2
NO2,0.7379,0.0976,0.3861,0.8625,56
PM10,0.5195,0.1574,0.0317,0.8434,40
SO2,0.5037,0.4648,-0.1802,0.8042,4
PM25,0.498,0.3208,-0.4569,0.8759,24
