target,pollutant,test_r2,test_rmse,test_mae,epochs,site
BG2_NO2,NO2,-1.933365622256685e+30,0.038592884035029106,0.026936818685744726,33,BG2
TH4_NO2,NO2,-2.202880118398208e+29,0.03908111311376158,0.03272288385210799,34,TH4
TH4_O3,O3,-7.677077285003108e+29,0.04863827797702143,0.03687671399343832,45,TH4
TH4_PM10,PM10,-1.0915479978834401e+30,0.02899824115259167,0.02311066359583122,31,TH4
WM6_PM10,PM10,-1.6559508437584795e+28,0.0071433833064483,0.0030205395304643634,25,WM6
