feature,importance,category
London_Haringey_Priory_Park_South_NO2_t-1,0.860524460024106,NO2
London_Bexley_NO2_t-1,0.008976808229311828,NO2
London_Haringey_Priory_Park_South_NO2_t-2,0.006157799683170554,NO2
London_Hillingdon_NO2_t-1,0.004520639247528966,NO2
Borehamwood_Meadow_Park_NO2_t-1,0.003724767908558827,NO2
Camden_Kerbside_NO2_t-1,0.0031184122489365906,NO2
London_N._Kensington_NO2_t-1,0.002659662985553361,NO2
London_Hillingdon_O3_t-1,0.002504506101037789,O3
Southwark_A2_Old_Kent_Road_NO2_t-1,0.002492609647162906,NO2
London_Westminster_NO2_t-1,0.0023636660363749516,NO2
London_Haringey_Priory_Park_South_NO2_t-3,0.002143203096966051,NO2
London_Harlington_NO2_t-1,0.0015173729254508753,NO2
London_Harlington_NO2_t-3,0.0014734062707084902,NO2
London_Hillingdon_NO2_t-3,0.001417369677901877,NO2
London_Bloomsbury_NO2_t-1,0.0013046635912834876,NO2
London_Hillingdon_NO2_t-4,0.001141638811354168,NO2
London_Bexley_NO2_t-3,0.0010286923841315537,NO2
London_N._Kensington_O3_t-1,0.0010108417336106882,O3
London_Marylebone_Road_NO2_t-1,0.0009870415088109122,NO2
London_Harlington_NO2_t-4,0.000922802988976904,NO2
London_N._Kensington_NO2_t-2,0.0008643877439801431,NO2
Borehamwood_Meadow_Park_NO2_t-2,0.0008430161141208196,NO2
London_Bexley_NO2_t-4,0.0008197719741795083,NO2
London_N._Kensington_NO2_t-3,0.0008162859168983684,NO2
Camden_Kerbside_NO2_t-2,0.0008048830856447287,NO2
Borehamwood_Meadow_Park_NO2_t-3,0.0007937103013093484,NO2
London_Westminster_O3_t-1,0.0007851248954323394,O3
London_Harlington_NO2_t-2,0.0007807780089245621,NO2
London_Hillingdon_NO2_t-2,0.000769195792314805,NO2
London_Hillingdon_O3_t-3,0.0007381052095547558,O3
London_Marylebone_Road_NO2_t-3,0.0007297690293803366,NO2
Camden_Kerbside_NO2_t-3,0.0007206350979325725,NO2
