target,site,pollutant,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,n_estimators,max_depth,min_samples_split,min_samples_leaf
BG1_NO2,BG1,NO2,0.9641217647849349,0.022214928052458758,0.014386688822239644,0.9113697614069407,0.04644390459108431,0.02905997769188647,0.8226061750505964,0.015652284520304663,0.006859220604077353,100,10,5,2
BG1_SO2,BG1,SO2,0.9230025104725641,0.014746885345564061,0.00922765582271495,0.7280890570051871,0.09308304726486483,0.033978352414933126,0.9153327870760924,0.011522000120038059,0.004049785677578221,100,10,5,2
BG2_NO2,BG2,NO2,0.9130260175316643,0.04010637676654531,0.02867598203522249,0.843762471343871,0.0657605397309818,0.04122307161238763,-1.007077112540059e+29,0.00880808711888781,0.005788824915156439,100,10,5,2
BG2_PM10,BG2,PM10,0.8551061308039706,0.007737919644595677,0.004381880980939747,0.6251210039565923,0.012595996810148335,0.006547151257568034,0.7539912814883414,0.014016833107372683,0.005529131561972874,100,10,5,1
BQ7_NO2,BQ7,NO2,0.9456897041048873,0.02818832733684182,0.01928584862994053,0.8627020471911346,0.06007163952166262,0.0367523258725083,0.8396450383691259,0.03368996224500049,0.019868539501725683,100,10,5,2
BQ7_O3,BQ7,O3,0.9678140067091187,0.022063360291765675,0.01619754703926543,0.9340050609873316,0.0356620916267332,0.025103569778968157,0.9254255107210795,0.03092775627004507,0.021903098298962802,100,10,5,1
BQ7_PM10,BQ7,PM10,0.9535894723180796,0.020201500843953737,0.013224968593027898,0.8838971500976809,0.059496613515460775,0.033656322102833494,0.7964893724617778,0.03271871989599893,0.01866297819224283,100,10,5,1
BQ7_PM25,BQ7,PM25,0.9746416262169287,0.013808076325781621,0.008898081175001854,0.8886172460927826,0.05937178360633063,0.02819650145208259,0.819355251240638,0.025745499195326465,0.0120780544442761,100,10,2,1
BQ9_PM10,BQ9,PM10,0.9435093203555452,0.01526486129539244,0.009987323938419916,0.9015493920428677,0.0313498098394423,0.0185392021095905,0.7952548547155398,0.01911440981694649,0.010603790509839891,100,10,5,1
BQ9_PM25,BQ9,PM25,0.9634057710751204,0.01116200810793607,0.007075263274963566,0.9180007309964258,0.02867676148453479,0.014170092115100667,0.7652238268127747,0.01744998546822157,0.007355727683470682,100,10,2,1
BT4_NO2,BT4,NO2,0.9115912583109499,0.023742003295871974,0.01698701601754856,0.8615999681140707,0.030540455526597475,0.022891433073952472,0.8057286326356721,0.02945653921257734,0.021820122387036917,100,10,5,2
BT4_PM10,BT4,PM10,0.8409006337185715,0.013160591067121015,0.008293445402526365,0.5996880040707531,0.023668843580323208,0.01170865118296631,0.38090995610958334,0.013681343052294109,0.007374992818173135,100,10,5,1
BT4_PM25,BT4,PM25,0.9064055071226887,0.024032185698635963,0.018328816582748417,0.8299924003824158,0.04844136463523668,0.03117982718503108,0.48811616322167106,0.04642718417011517,0.02358761561413557,100,10,2,1
