target,category,train_r2,val_r2,test_r2,test_rmse,test_mae,gap,is_broken,performance
Borehamwood_Meadow_Park_NO,Nitrogen,0.9643700667293138,0.8499252845669757,0.6471585241453408,0.008727478796117412,0.0025145222566021774,0.11444478216233811,False,moderate
Borehamwood_Meadow_Park_NO2,Regulatory,0.9496514342701278,0.9066978735710692,0.8438896841473137,0.03849528222972042,0.023552841024446783,0.042953560699058535,False,good
Borehamwood_Meadow_Park_NOx,Nitrogen,0.9636486294455805,0.9025219615712943,0.8015230516190037,0.01368585742411635,0.0071511918632786034,0.06112666787428622,False,good
Borehamwood_Meadow_Park_PM10,Regulatory,0.9471848671660632,0.9230444226462315,0.8640582110864118,0.016216126324152463,0.011459307924799692,0.02414044451983166,False,good
Borehamwood_Meadow_Park_PM25,Regulatory,0.9635796848273216,0.918314034869631,0.9182580898780406,0.010418558894329195,0.006834602621604966,0.04526564995769056,False,good
Camden_Kerbside_NO,Nitrogen,0.9090957597945555,0.7517290272034236,0.6457485217186724,0.013764152311958561,0.007693085306589678,0.15736673259113187,False,moderate
Camden_Kerbside_NO2,Regulatory,0.8968324398691588,0.7938347804138589,0.657684792510545,0.057772724366068895,0.04010690111929989,0.10299765945529993,False,moderate
Camden_Kerbside_NOx,Nitrogen,0.9120917285853778,0.791716703221482,0.6613349250728332,0.018869729036579484,0.01186233853906559,0.12037502536389577,False,moderate
Haringey_Roadside_NO,Nitrogen,0.9399491353703102,0.8453618601877347,0.787675663238927,0.007098181212886147,0.00349493569655991,0.09458727518257548,False,good
Haringey_Roadside_NO2,Regulatory,0.9353289727993679,0.8911534265277034,0.8701906158558426,0.025063497351434132,0.01557535725367683,0.044175546271664534,False,good
Haringey_Roadside_NOx,Nitrogen,0.9403862842471504,0.8749228540519464,0.8301499862000248,0.01098679330768378,0.005652302526550013,0.06546343019520406,False,good
London_Bexley_NO,Nitrogen,0.9569351285243237,0.8046377007639136,0.14441904059142008,0.02454566900678424,0.004028391156860975,0.1522974277604101,False,poor
London_Bexley_NO2,Regulatory,0.9417526822842679,0.8803439262996139,0.8070420175778121,0.03500108604104641,0.02147756479559478,0.06140875598465401,False,good
London_Bexley_NOx,Nitrogen,0.9518749452003678,0.8527917550024453,0.5180456671294199,0.024145311268020997,0.008932412917535283,0.09908319019792244,False,moderate
