target,category,train_r2,val_r2,test_r2,test_rmse,test_mae,gap,is_broken,performance
London_Honor_Oak_Park_PM10,Regulatory,0.9477443123433544,0.937223450745342,0.830716814316386,0.01583328612570913,0.010381490301805948,0.010520861598012465,False,good
London_Honor_Oak_Park_PM25,Regulatory,0.9690279660520781,0.9529423197621076,0.8998341997275503,0.01230325414101209,0.007604456597980588,0.016085646289970446,False,good
London_Marylebone_Road_1_2_3_TMB,Aromatic_VOC,0.7066162977406697,0.0,0.0,4.7640138685753275e-05,2.0829940419113377e-06,0.7066162977406697,False,poor
London_Marylebone_Road_1_2_4_TMB,Aromatic_VOC,0.6694009741785315,0.08879256339061137,0.5504598299232142,0.003506267226334244,0.0006789489127566053,0.5806084107879201,False,moderate
London_Marylebone_Road_1_3_5_TMB,Aromatic_VOC,0.8968972288358946,0.27345700671284745,-0.9564075963230387,0.007031934952576217,0.0019402623100965896,0.6234402221230472,False,failed
London_Marylebone_Road_1_3_Butadiene,Alkene,0.9255841387095118,0.07107929834047577,-0.23860445330726043,0.010444778060170164,0.0064893413451992815,0.8545048403690361,False,failed
London_Marylebone_Road_1_Butene,Alkene,0.9602660279194832,0.6654583079705112,0.11973116690004826,0.012971744189499996,0.006568661862864253,0.29480771994897204,False,poor
London_Marylebone_Road_1_Pentene,Alkene,0.8916749101185205,0.37511223360571033,-1.3775248013988,0.0021546606638307895,0.000804689105365056,0.5165626765128102,False,failed
London_Marylebone_Road_Benzene,Aromatic_VOC,0.8971159592098572,0.6047215462912385,0.3327153527682041,0.005284639411953125,0.003461411165607681,0.2923944129186187,False,poor
London_Marylebone_Road_CO,Regulatory,0.9417817031048457,0.8691584231441145,0.8579424371227854,0.0248400840895314,0.017134439451046056,0.07262327996073115,False,good
London_Marylebone_Road_Ethane,Alkane,0.9679395534045614,0.8513751042953563,0.6985435951487107,0.014553472613649364,0.0064802762353033646,0.11656444910920505,False,moderate
London_Marylebone_Road_Ethene,Alkene,0.8283092291405385,0.795587789166362,0.507450994719789,0.0036310618557114918,0.00228330804418711,0.032721439974176536,False,moderate
London_Marylebone_Road_Ethylbenzene,Aromatic_VOC,0.9353816579167539,0.06491576160552948,0.21188687011665575,0.025803707327915926,0.0058763568957825195,0.8704658963112244,False,poor
London_Marylebone_Road_Ethyne,Other_VOC,0.8531062976180465,0.6400268057289831,0.30180067865932514,0.03488499716774492,0.019905093578389522,0.2130794918890634,False,poor
London_Marylebone_Road_Isoprene,Alkene,0.9495192544473736,0.5835185983148041,0.7263383959629899,0.07975671964572532,0.04429170706834639,0.3660006561325695,False,good
London_Marylebone_Road_NO,Nitrogen,0.9112768529877431,0.8340896977722505,0.7727462349591709,0.02190235933678127,0.012798720767130092,0.07718715521549258,False,good
London_Marylebone_Road_NO2,Regulatory,0.9068289671796317,0.8458641478145903,0.7605055897347079,0.0404131018684017,0.027347216272021392,0.06096481936504139,False,good
London_Marylebone_Road_NOx,Nitrogen,0.9156585831731631,0.8422952107738431,0.7875427543743109,0.023327374807505838,0.014954959731503598,0.07336337239932,False,good
London_Marylebone_Road_O3,Regulatory,0.9478950536777984,0.9138589821002044,0.8685633486826111,0.04119860368199823,0.028316916498269187,0.03403607157759392,False,good
London_Marylebone_Road_Propane,Alkane,0.8965406354306508,-0.8349068175701746,-0.1955318502965009,0.008907436174762412,0.00300719270573419,1.7314474530008255,False,failed
London_Marylebone_Road_Propene,Alkene,0.8867799522114317,0.656165213056698,0.6782173206671676,0.05696566027715206,0.03313841529200652,0.23061473915473374,False,moderate
London_Marylebone_Road_SO2,Regulatory,0.6407357175343319,0.365294997548962,0.6370948575572151,0.004119426533581108,0.002430642682315746,0.2754407199853699,False,moderate
London_Marylebone_Road_Toluene,Aromatic_VOC,0.8450309047877378,0.3683788022526633,-0.001825803491447342,0.0273929187318784,0.004351551698478912,0.4766521025350745,False,failed
London_Marylebone_Road_cis_2_Butene,Alkene,0.9059215699767109,0.3690656748264267,0.16354159347685382,0.023731125265804048,0.016130459264445535,0.5368558951502842,False,poor
London_Marylebone_Road_i_Butane,Alkane,0.8147572382247759,0.5231878136598549,0.2944846648185929,0.020235361300574187,0.007856109636397223,0.29156942456492096,False,poor
London_Marylebone_Road_i_Hexane,Alkane,0.9103450742815651,0.6255804508681679,-0.00027578072618617,0.006674672279911059,0.0022980848476426845,0.28476462341339714,False,failed
London_Marylebone_Road_i_Octane,Alkane,0.867285762094027,0.5502946061203986,0.04409249892294809,0.030821869803660258,0.006830962860457804,0.31699115597362837,False,poor
London_Marylebone_Road_i_Pentane,Alkane,0.8949271183761374,0.6926830561980402,0.3253200786171214,0.039956958235906094,0.016240550126318237,0.2022440621780972,False,poor
London_Marylebone_Road_m_p_Xylene,Aromatic_VOC,0.9270787469318869,0.06257963863301297,0.17345389156958213,0.02542879605160789,0.006504398038896991,0.8644991082988739,False,poor
London_Marylebone_Road_n_Butane,Alkane,0.949912117558277,0.44668515582908663,0.2361266164068465,0.0024065564578159672,0.0008786666200952486,0.5032269617291903,False,poor
London_Marylebone_Road_n_Heptane,Alkane,0.8349325489393187,0.26791782422182486,-0.009737386510057178,0.021018339899102147,0.006887475095482379,0.5670147247174938,False,failed
London_Marylebone_Road_n_Hexane,Alkane,0.9762429961562268,0.27742264551398876,-2.007993085434632,0.00852962656910407,0.0012325680040714572,0.698820350642238,False,failed
London_Marylebone_Road_n_Octane,Alkane,0.8643758019943746,0.3616617582061862,0.2682528193942527,0.04180484877800028,0.017607984159919588,0.5027140437881884,False,poor
London_Marylebone_Road_n_Pentane,Alkane,0.9278229868906114,0.7573930579037449,0.5922609021820895,0.03299518650233028,0.015480469950304193,0.17042992898686649,False,moderate
London_Marylebone_Road_o_Xylene,Aromatic_VOC,0.9004156041942998,0.07717861844006046,0.11195820313654137,0.010543644889332987,0.002965805032437468,0.8232369857542393,False,poor
London_Marylebone_Road_trans_2_Butene,Alkene,0.9419686284425147,-0.01924931690102083,-0.05493379097961726,0.023749179560804756,0.015641815462281577,0.9612179453435356,False,failed
London_Marylebone_Road_trans_2_Pentene,Alkene,0.841781965615366,0.43237072395620113,0.1067392378568881,0.0484602488291635,0.01986214975239769,0.40941124165916487,False,poor
London_N._Kensington_CO,Regulatory,0.9633651041306414,0.8606050142240952,0.9184254128871099,0.01002245605694535,0.006051013651697188,0.10276008990654617,False,good
London_N._Kensington_NO,Nitrogen,0.9782787308885224,0.9046461182856096,0.8426035387392454,0.004600469043699918,0.001375210283315172,0.07363261260291276,False,good
London_N._Kensington_NO2,Regulatory,0.9536953174842581,0.9093007788430973,0.8232993263997724,0.035556816470092636,0.022618681338555234,0.04439453864116072,False,good
London_N._Kensington_NOx,Nitrogen,0.9718374895338828,0.9190457896602315,0.8373298920766193,0.008051452773288675,0.004664634736264923,0.05279169987365129,False,good
London_N._Kensington_O3,Regulatory,0.968890350678982,0.9383971512480057,0.9268343178005046,0.03437020958244206,0.024160177410502817,0.03049319943097628,False,good
London_N._Kensington_SO2,Regulatory,0.9731572064854075,0.7464541890777568,0.8793845953353534,0.006186319372001815,0.004650850847336708,0.22670301740765064,False,good
London_Teddington_Bushy_Park_PM10,Regulatory,0.9379353157121724,0.9046727525480812,0.5583674337246289,0.015572103014571513,0.008309114788011749,0.03326256316409115,False,moderate
London_Teddington_Bushy_Park_PM25,Regulatory,0.9809381221825804,0.9487017777085289,0.8886837513898665,0.009404554101907072,0.006204151590321642,0.03223634447405144,False,good
London_Westminster_NO,Nitrogen,0.9448417447135096,0.8844634497859006,0.5450487159622094,0.00821710044105605,0.0028697262100204506,0.06037829492760893,False,moderate
London_Westminster_NO2,Regulatory,0.9506043256674273,0.9115510224261472,0.817840133894196,0.013081730653547896,0.009082118577573385,0.03905330324128009,False,good
London_Westminster_NOx,Nitrogen,0.9454437827685288,0.907305475977973,0.7354393532471895,0.008743081840304956,0.0050595830709479145,0.038138306790555854,False,good
London_Westminster_O3,Regulatory,0.9641330251213597,0.9413718957995528,0.9220437060241887,0.028917158183880184,0.020702646164794905,0.02276112932180685,False,good
London_Westminster_PM25,Regulatory,0.9119878385076832,0.8612761244644941,0.29638393589018275,0.011387206027359879,0.005656406523360272,0.05071171404318908,False,poor
Southwark_A2_Old_Kent_Road_NO,Nitrogen,0.9122626135536739,0.8254939233840408,0.557892051632292,0.02623767401390803,0.011953698978010227,0.08676869016963307,False,moderate
Southwark_A2_Old_Kent_Road_NO2,Regulatory,0.9227087320414198,0.8722619336750685,0.7765904939901096,0.04429090622881,0.02941828526153218,0.05044679836635124,False,good
Southwark_A2_Old_Kent_Road_NOx,Nitrogen,0.9184964794818882,0.8575793888392258,0.663115102467045,0.02791537027179244,0.01499424848924758,0.060917090642662375,False,moderate
