SiteCode,SiteName,SpeciesCode,SpeciesDescription,ObjectiveType,Value,Unit,Guideline,Period,SiteSpeciesCount,SpeciesFrequency
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,70,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,97,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,95,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,88,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,92,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,91,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,96,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,96,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,63,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM10,PM10 Particulate,N/A,49,N/A,N/A,N/A,7,6768
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,11,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,12,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,13,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,10,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,11,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,9,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,11,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,8,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,8,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,7,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,96,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,96,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,94,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,92,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,98,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,88,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,36,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,60,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,63,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,PM25,PM2.5 Particulate,N/A,49,N/A,N/A,N/A,7,804
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,1,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,60,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,6,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,16,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,1,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,3,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,3,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,0,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,93,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,94,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,96,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,96,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,97,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,92,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,90,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,94,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,98,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,94,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,95,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,82,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,99,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,99,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,99,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,99,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,99,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,87,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,94,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,98,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,83,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,85,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,78,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,79,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,72,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,82,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,94,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,56,N/A,N/A,N/A,7,2740
BL0,Camden - Bloomsbury,SO2,Sulphur Dioxide,N/A,48,N/A,N/A,N/A,7,2740
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,28,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,27,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,28,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,26,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,27,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,26,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,25,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,29,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,31,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,1,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,6,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,14,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,12,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,5,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,4,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,2,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,12,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,5,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,18,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,70,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,97,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,99,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,99,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,99,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,98,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,97,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,DUST,PM10 (not reference equiv.),N/A,25,N/A,N/A,N/A,3,3912
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,4,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,4,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,0,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,6,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,23,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,20,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,4,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,9,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,15,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,4,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,11,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,33,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,14,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,1,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,65,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,53,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,54,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,58,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,69,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,75,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,77,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,74,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,72,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,67,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,66,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,71,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,70,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,69,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,67,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,3,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,94,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,97,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,75,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,86,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,86,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,18,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,82,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,87,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,100,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,97,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,93,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,94,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,90,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,NO2,Nitrogen Dioxide,N/A,25,N/A,N/A,N/A,3,8076
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,29,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,26,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,32,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,37,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,33,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,28,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,26,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,23,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,24,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,28,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,33,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,0,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,16,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,6,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,17,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,44,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,43,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,2,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,12,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,11,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,15,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,8,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,7,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,4,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,23,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,12,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,3,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,95,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,90,N/A,N/A,N/A,3,6768
BN1,Barnet - Tally Ho Corner,PM10,PM10 Particulate,N/A,73,N/A,N/A,N/A,3,6768
